Пол,Возраст,Одежда,Волосы,Внешний вид,Глаза,Взаимоотношения,Поведение,Эмоции,Цель,Профессия,Голос,Персональные качества,Достижения,Вещи
женский,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"блестящие, влажные",влюблена в Илью; стремится к просвещению,решительная; активная,любовь; надежда; уверенность,открыть школу для девочек и женщин,CANNOT ANSWER,CANNOT ANSWER,храбрость; лидерские качества; способность организовать,получила императорское разрешение открыть школу; создала учебный кабинет,запечатанное письмо
женский,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"блестящие, со слезами",влюблена в Илью; враждебна к Петровичу,"организует встречи, отстаивает образование, смела, решительна",волнение; решимость; слёзы радости,открыть школу для девушек и женщин; обеспечить образование,CANNOT ANSWER,CANNOT ANSWER,смелость; решительность; любовь к образованию,организовала женский вечер чтения; добилась разрешения открыть учебный кабинет,запечатанное письмо с имперской печатью
женский , CANNOT ANSWER , CANNOT ANSWER , CANNOT ANSWER , CANNOT ANSWER , блестящие; слезящиеся , влюблена в Илью; враждебна к Петровичу , активна; решительна; смела; инициативна , волнение; любовь; слёзы; уверенность; решимость , открыть школу для девочек и женщин; просвещение деревни , CANNOT ANSWER , CANNOT ANSWER , организатор; оратор; образованная; смелая , организовала женский вечер чтения; добилась разрешения открывать школу для девочек; выступила перед советом и обеспечила открытие учебного кабинета , запечатанное письмо с имперской печатью
женский,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"блестящие, слезами",любовь к Илье; вражда с Петровичем,решительная; смелая; инициативная,"волнение, любовь, уверенность",открыть школу для девочек и женщин,учительница,CANNOT ANSWER,смелая; решительная,организовала женский вечер чтения; добилась императорского указа на открытие школы,запечатанное письмо; масляная лампа; книга Пушкина
мужской,пожилой,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,холодный,презрение к Марии; враждебность,агрессивный; властный; стремление подавить,презрение; гнев,подавить новаторство Марии; сохранить власть над деревней,староста,CANNOT ANSWER,консервативный; авторитарный; презрительный,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,взгляд словно высохшая от холода река,"презрение, враждебность к Марии","враждебный, презрительный","презрение, гнев","подавить новаторство Марии, сохранить власть над деревней",староста,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,холодный,презрение к Марии; враждебность,враждебное; решительное; сдержанное,гнев; презрение; смягчение,подавить просвещение; сохранить традиционный порядок,староста,CANNOT ANSWER,строгий; решительный; авторитетный; упорный,позволил открыть учебный кабинет,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,презрение к Марии; гнев к её новаторству,"холодный, презрительный, сжатые кулаки, потом смягчённое",гнев; затем смягчение,подавить новаторство Марии и сохранить традиционный порядок,староста,CANNOT ANSWER,консервативный; презрительный,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,презрительный взгляд; сжатые руки,взгляд как высохшая от холода река,презрение к Марии и её просветительским инициативам,пытается подавлять Марии; сжимает кулаки; позже смягчает гнев,гнев; презрение; внутренний конфликт,сохранить традиционный порядок и подавить просветительские занятия,местный староста,CANNOT ANSWER,консервативный; властный; предвзятый,CANNOT ANSWER,CANNOT ANSWER
мужской,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,CANNOT ANSWER,"холодный, как высохшая от холода река",презрение,"агрессивный, подавляющий",гнев; презрение; смягчение,"сохранить власть, подавить новаторство Марии",староста,CANNOT ANSWER,властный; решительный; консервативный,CANNOT ANSWER,CANNOT ANSWER
